,responsibilities,requirements,url,text
Editor,"Coordinate online or print publishing cycle and manage content areas
Set publication standards and establish goals and expectations
Suggest stories and generate headline ideas in alignment with targeted audience’s preferences
Oversee layout (artwork, design, photography) and check content for accuracy and errors
Proofread, edit and improve stories or pieces
Recruit and manage writers and reporters
Cooperate and liaise with designers, photographers, advertising reps, writers, artists etc
Comply with media law and ethical guidelines
Meet deadlines and budget requirements
","Proven working experience as an editor
Strong writing/editing/proofreading skills and an excellent portfolio
Hands on experience with MS Office and InDesign, Photoshop or other publishing tools
Proven familiarity with SEO and social media best practices
Excellent written skills in English
An eye for detail along with critical thinking
Prioritizing and multitasking
BS degree in Journalism or in related field
",https://resources.workable.com/editor-job-description,Editor job description
Educator & Education,,,https://resources.workable.com/category/job-descriptions/education-job-descriptions/,
Electrician,"Execute plans of electrical wiring for well functioning lighting, intercom and other electrical systems
Install electrical apparatus, fixtures and equipment for alarm and other systems
Install safety and distribution components (e.g. switches, resistors, circuit-breaker panels etc.)
Connect wiring in electrical circuits and networks ensuring compatibility of components
Prepare and assemble conduits and connect wiring through them
Prevent breakdown of systems by routinely inspecting and replacing old wiring and insulated cables, cleaning circuits etc.
Perform effective troubleshooting to identify hazards or malfunctions and repair or substitute damaged units
","Proven experience as an electrician
Experience in industrial and/or commercial electrical systems
Demonstrable ability to use electrical and hand tools (e.g. wire strippers, voltmeter etc.) and electrical drawings and blueprints
Thorough knowledge of safety procedures and legal regulations and guidelines
Excellent critical thinking and problem-solving ability
Excellent physical condition and flexibility to work long shifts and overnight
Diploma in relevant vocational training or successfully completed apprenticeship as an electrician
Valid license to practice profession
",https://resources.workable.com/electrician-job-description,"Electrician job descriptionWe are looking for an experienced Electrician to undertake a variety of tasks relating to setting up and maintaining electrical infrastructure. Your job will involve installing electrical wiring in buildings and poles, troubleshooting malfunctions and blackouts and repairing appliances.
Due to the high amount of risk pertaining to this job, electricians must be first and foremost responsible individuals with great attention to safety precautions. The ideal candidate must also be experienced in different kinds of electrical devices and systems.
The goal will be to produce and maintain well functioning electrical connections to minimize the probability of accidents and maximize usability of electricity in all facilities.
"
Email Marketing Manager,"Proven work experience as an Email marketing manager or Digital marketing specialist
Hands on experience with HTML and content management systems
Proficiency in marketing automation technology
Knowledge of SEO/SEM and Google Analytics
Familiarity with analytical and database tools
Excellent written communication and copywriting skills
Strong project management skills
An ability to work under tight deadlines
BSc degree in Marketing or relevant field
","Also see our more general job description for a Marketing Manager that can be tailored to your needs.
",https://resources.workable.com/email-marketing-manager-job-description,"Email Marketing Manager job descriptionUltimately, you should be able to promote our brand and ensure our customers stay in touch with our company updates.
"
Embedded Software Engineer,"Design and implement software of embedded devices and systems from requirements to production and commercial deployment
Design, develop, code, test and debug system software
Review code and design
Analyze and enhance efficiency, stability and scalability of system resources
Integrate and validate new product designs
Support software QA and optimize I/O performance
Provide post production support
Interface with hardware design and development
Assess third party and open source software
","Proven working experience in software engineering
BS degree in Computer Science or Engineering
Experience in hands-on development and troubleshooting on embedded targets
Solid programming experience in C or C++
Proven experience in embedded systems design with preemptive, multitasking real-time operating systems
Familiarity with software configuration management tools, defect tracking tools, and peer review
Excellent knowledge of OS coding techniques, IP protocols, interfaces and hardware subsystems
Adequate knowledge of reading schematics and data sheets for components
Strong documentation and writing skills
",https://resources.workable.com/embedded-software-engineer-job-description,Embedded Software Engineer job description
Engagement Manager,"Foster positive relationships with our customers as their primary point of contact
Help clients implement services and plan projects effectively
Ensure that contract terms and conditions are met
Manage invoices and bills for assigned customers
Identify upselling and cross-selling opportunities
Address customer issues with speed and efficiency
Work with sales teams to generate new business
Prepare reports on project performance
","Proven experience as an Engagement Manager
Project management experience
Background in sales and customer service is a plus
Proficient in MS Office and CRM/project management software
Strong organizational and multitasking skills
Customer-oriented approach
Excellent verbal and written communication abilities
Sharp business acumen
Problem-solving aptitude
BSc/BA in Business or similar field
",https://resources.workable.com/engagement-manager-job-description,"Engagement Manager job descriptionTo succeed in this role, you’ll need to communicate well and multi-task under tight deadlines. Experience in sales and customer service is an asset in this position. If you’re a team player and a problem-solver, we’d like to meet you.
Your goal will be to ensure that our relationships with customers are strong, profitable and enduring.
"
Engineering,,,https://resources.workable.com/category/job-descriptions/engineering-job-descriptions/,
Environmental Engineer,"Provide system and component design that reduce negative impact on environment
Serve as a technical advisor on environmental policies and standards to ensure regulatory applicability
Conduct research and technical audits on environmental impact of project, analyze data and perform quality control checks
Develop resources management schemes
Provide systems technical evaluation
Integrate latest technologies into systems
Address problems and develop environmental solutions to prevent damage
Collaborate with scientists, planners and experts
Monitor progress and provide recommendations reports
Document and maintain plans, requirement, protocols, permits and standard operating procedures
Achieve quality, sales, revenue and profitability goals
","Proven working experience as an Environmental engineer
Hands on experience with analytical, mechanical and compliance software (e.g. SAS, Autocad etc)
Ability to think on large and small scale
Familiarity with quality assurance, documentation, environmental rules, regulations and best practices
Project and personnel management skills
Current professional engineer license
Advanced MS Office skills
",https://resources.workable.com/environmental-engineer-job-description,Environmental Engineer job description
Estimator,"Understand the project/program and its requirements
Determine key variables for cost and other estimates
Gather first-hand information from sites, warehouses or other venues
Conduct research to obtain data on labor costs, materials, production times etc.
Use software for data analysis, forecasting and budgeting
Obtain and review offers and quotes by subcontractors or vendors
Perform risk analysis
Create and submit estimate reports or bids to appropriate persons (project managers, clients, bidding competitions etc.)
Build relationships with key vendors (subcontractors, suppliers, engineers etc.)
Provide consultation on planning (schedules, manpower needs etc.)
","Proven experience as estimator or similar position
Familiarity with financial and project management principles
In depth knowledge of research and data analysis methods and estimation formulas
Exquisite math and IT ability with an analytical mindset
Proficient in relevant software (Timberline, HCSS HeavyBid)
Outstanding communication and negotiation abilities
Thoroughness and reliability
Excellent organizational skills
BSc/BA in engineering, construction science or relevant discipline
Certified Professional Estimator (CPE) will be an asset
",https://resources.workable.com/estimator-job-description,"Estimator job descriptionThe ideal candidate will have excellent numerical skills and an analytical mindset. You must also be thorough and apt in managing relationships with key persons.
The goal is to provide detailed reports so the company can make informed decisions that will enhance its profitability and growth.
"
Event Coordinator,"Understand requirements for each event
Plan event with attention to financial and time constraints
Book venues and schedule speakers
Research vendors (catering, decorators, musicians etc.) and choose the best combination of quality and cost
Negotiate with vendors to achieve the most favorable terms
Hire personnel
Manage all event operations (preparing venue, invitations etc.)
Do final checks at the day of the event (e.g. tables, technology) to ensure everything meets standards
Oversee event happenings and act quickly to resolve problems
Evaluate event’s success and submit reports
","Proven experience as event coordinator
A proven track record of organizing successful events
Proficient in MS Office
Excellent vendor management skills
Knowledge of basic recruitment practices
Outstanding communication and negotiation ability
Well-organized with multi-tasking skills
Able to handle stress and remain calm
Problem-solving ability
Degree in hospitality management, public relations or relevant field is preferred
",https://resources.workable.com/event-coordinator-job-description,"Event Coordinator job descriptionAn event coordinator must be well-organized and competent in vendor management. Communication skills and attention to detail will set apart the best among the candidates. Add a shot of enthusiasm and passion for the job and you’ll be our ideal candidate.
The goal is to organize unforgettable events that will ensure the entertainment of participants and facilitate the completion of business objectives.
"
Event Manager,"Plan event from start to finish according to requirements, target audience and objectives
Come up with suggestions to enhance the event’s success
Prepare budgets and ensure adherence
Source and negotiate with vendors and suppliers
Be in charge of hiring personnel (DJs, waiters etc.)
Coordinate all operations
Lead promotional activities for the event
Supervise all staff (event coordinators, caterers etc.)
Approve all aspects before the day of the event
Ensure event is completed smoothly and step up to resolve any problems that might occur
Analyze the event’s success and prepare reports
","Proven experience as event manager
Skilled in project management
Knowledge of KPIs and marketing techniques for event management
Computer savvy; proficient in MS Office
Outstanding communication and negotiation ability
Excellent organizational skills
A knack for problem-solving
Customer-service orientation
A team player with leadership skills
BSc/BA in PR, marketing, hospitality management or related field is preferred
",https://resources.workable.com/event-manager-job-description,"Event Manager job descriptionAn event manager is, above all, a project manager who understands marketing and promotion techniques. We want to see enthusiastic candidates with fresh ideas and the organizational skills required to not leave anything about an event to chance.
"
Event Planner,"Event planning, design and production while managing all project delivery elements within time limits
Liaise with clients to identify their needs and to ensure customer satisfaction
Conduct market research, gather information and negotiate contracts prior to closing any deals
Provide feedback and periodic reports to stakeholders
Propose ideas to improve provided services and event quality
Organize facilities and manage all event’s details such as decor, catering, entertainment, transportation, location, invitee list, special guests, equipment, promotional material etc
Ensure compliance with insurance, legal, health and safety obligations
Specify staff requirements and coordinate their activities
Cooperate with marketing and PR to promote and publicize event
Proactively handle any arising issues and troubleshoot any emerging problems on the event day
Conduct pre- and post – event evaluations and report on outcomes
Research market, identify event opportunities and generate interest 
","Proven experience as an events planner or organizer
Impressive portfolio of previously managed events (weddings, meetings, parties, corporate events)
Excellent time management and communication skills
Sales skills and ability to build productive business relationships
Ability to manage multiple projects independently
MS Office proficiency
Willing to submit references from previous clients
BS in Event Management or related field
",https://resources.workable.com/event-planner-job-description,Event Planner job description
Executive Administrative Assistant,"Act as the point of contact between the executives and internal/external clients
Undertake the tasks of receiving calls, take messages and routing correspondence 
Handle requests and queries appropriately
Maintain diary, arrange meetings and appointments and provide reminders
Make travel arrangements
Take dictation and minutes and accurately enter data
Monitor office supplies and research advantageous deals or suppliers 
Produce reports, presentations and briefs
Develop and carry out an efficient documentation and filing system
","Proven experience as an executive administrative assistant, senior executive assistant or in other secretarial position
Full comprehension of office management systems and procedures
Excellent knowledge of MS Office
Proficiency in English
Exemplary planning and time management skills
Up-to-date with advancements in office gadgets and applications
Ability to multitask and prioritize daily workload
High level verbal and written communications skills
Discretion and confidentiality 
High School degree; additional qualification as personal assistant would be considered an advantage
",https://resources.workable.com/executive-administrative-assistant-job-description,Executive Administrative Assistant job description
Executive Assistant,"Be the point of contact between the executives and company employees/clients and manage information flow
Manage executives’ diaries and arrange their daily schedule (set up meetings, travel, speaking engagements)
Oversee the performance of other clerical and administrative staff
Act as an office manager by keeping up with office supply inventory
Format information for internal and external communication – memos, emails, presentations, reports
Screen and direct phone calls and distribute correspondence
Devise and maintain office filing system
","Proven working experience as a executive assistant or senior executive assistant
Excellent MS Office knowledge and English proficiency
Outstanding organisational and time management skills
Aware of the latest office gadgets and applications
Acquainted with office management systems and procedures
Excellent verbal and written communications skills
Discretion and confidentiality 
High School degree
PA diploma or certification would be considered a plus
",https://resources.workable.com/executive-assistant-job-description,Executive Assistant job description
Executive Chef,"Plan and direct food preparation and culinary activities
Modify menus or create new ones that meet quality standards
Estimate food requirements and food/labor costs
Supervise kitchen staff’s activities
Arrange for equipment purchases and repairs
Recruit and manage kitchen staff
Rectify arising problems or complaints
Give prepared plates the “final touch”
Perform administrative duties
Comply with nutrition and sanitation regulations and safety standards
Keep time and payroll records
Maintain a positive and professional approach with coworkers and customers
","Proven working experience as a head chef
Excellent record of kitchen management
Ability to spot and resolve problems efficiently
Capable of delegating multiple tasks
Communication and leadership skills
Keep up with cooking trends and best practices
Working knowledge of various computer software programs (MS Office, restaurant management software, POS)
BS degree in Culinary science or related certificate
",https://resources.workable.com/executive-chef-job-description,Executive Chef job description
Executive Director,"Develop and implement strategies aiming to promote the organization’s mission and “voice”
Create complete business plans for the attainment of goals and objectives set by the board of directors 
Build an effective team of leaders by providing guidance and coaching to subordinate managers
Ensure adherence of the organization’s daily activities and long-term plans to established policies and legal guidelines
Direct and oversee investments and fundraising efforts
Forge and maintain relations of trust with shareholders, partners and external authorities
Act as the public speaker and public relations representative of the company in ways that strengthen its profile
Review reports by subordinate managers to acquire understanding of the organization’s financial and non-financial position
Devise remedial actions for any identified issues and conduct crisis management when necessary
","Proven experience as executive director or in other managerial position
Experience in developing strategies and plans
Ability to apply successful fundraising and networking techniques
Strong understanding of corporate finance and measures of performance
In depth knowledge of corporate governance principles and managerial best practices
An analytical mind capable for “out-of-the-box” thinking to solve problems
Outstanding organization and leadership abilities
Excellent communication (oral and written) and public speaking skills
MSc/MA in business administration or relevant field
",https://resources.workable.com/executive-director-job-description,"Executive Director job descriptionAn excellent executive director is an influential manager with ability to lead and motivate. They have great communication skills and take a holistic approach in managing the organization’s operations.
The goal is to manage and lead the organization towards the realization of its mission.
"
Executive Recruiter,"Partner with customers to get a clear view on their strategic and financial objectives and hiring needs
Devise and carry out a targeted research strategy
Research into clients company, competitors and market place
Map role criteria, define position description and document specifications
Track and identify prospective candidates using a variety of channels
Assess candidates to ensure qualification match, cultural fit and compatibility
Conduct confidential interviews, follow-up references and check credits
Present shortlisted candidates and provide detailed profile summaries
Offer guidance and facilitate the negotiation process through to its completion
Follow up with clients and assist with the candidate’s transition and onboarding process
Network and build long-lasting client relationships
Know your area of expertise (specialised industry or job function)
Research and develop recruiting leads
","Proven working experience in recruiting
Deep understanding of recruitment processes
Proficiency in using applicant tracking systems (ATS), recruiting software and candidate databases
Strong knowledge of candidates selection methods
Previous experience with candidate sourcing tools and methods
Excellent knowledge of area of expertise (market status, trends, best practices)
Client focus along with relationship building skills
Business acumen and market insight
Effective negotiation, influencing and communication skills
Integrity and confidentiality
BS degree in Human Resources or related field
",https://resources.workable.com/executive-recruiter-job-description,"Executive Recruiter job descriptionWe are looking for a professional Executive recruiter to source candidates on behalf of our clients for highly specialised positions. The successful candidate will be able to attract first-rate talent and to ensure lasting and successful placements. The goal is to exceed clients’ expectations and to add value to their business.
"
Executive Secretary,"Maintain executive’s agenda and assist in planning appointments, board meetings, conferences etc.
Attend meetings and keep minutes
Receive and screen phone calls and redirect them when appropriate
Handle and prioritize all outgoing or incoming correspondence (e-mail, letters, packages etc.)
Make travel arrangements for executives
Handle confidential documents ensuring they remain secure
Prepare invoices or financial statements and provide assistance in bookkeeping 
Monitor office supplies and negotiate terms with suppliers to ensure the most cost-effective orders
Maintain electronic and paper records ensuring information is organized and easily accessible
Conduct research and prepare presentations or reports as assigned
","Proven experience as executive secretary or similar administrative role
Proficient in MS Office and “back-office” software (e.g. ERP)
In depth knowledge of office management and basic accounting procedures as well as technical vocabulary of relevant industry
Familiarity with basic research methods and reporting techniques
Excellent organizational and time-management skills
Outstanding communication and negotiation abilities
Integrity and confidentiality
Degree in business administration or relative field
",https://resources.workable.com/executive-secretary-job-description,"Executive Secretary job descriptionExecutive secretaries must be quick professionals with great time-management and multitasking abilities. It is with their diligence and competence in their work that executives can focus on their managerial responsibilities without worrying for other tasks.
The goal is to contribute to the efficiency of the overall business by ensuring all assigned administrative duties are carried on timely and efficiently. 
"
External Auditor,"Plan effective auditing processes
Audit financial statements and assess accounts for accuracy and regulatory compliance
Inspect internal systems and controls
Assess risk management tactics
Perform audits of non-financial areas, like Health & Safety and IT
Report systematic errors or fraud indicators
Investigate specific issues regulatory bodies bring forward
Explain audit findings and recommend solutions
","Proven experience as an External Auditor
Experience in data analysis and financial reporting
Knowledge of external auditing practices and relevant regulations (e.g. Sarbanes-Oxley Act)
Knowledge of accounting standards (e.g. GAAP, IFRS)
Familiar with ERP software (e.g. JD Edwards)
Excellent verbal and written communication skills
Sound judgement and decision-making ability
Strong organizational skills
Keen attention to detail
CPA license; BSc/BA in Accounting, Finance or relevant field
",https://resources.workable.com/external-auditor-job-description,"External Auditor job descriptionTo succeed in this role, you should be an exceptional communicator with an analytical mind, attention to detail and sound judgement. We want someone who’s objective and speaks their mind boldly.
Your goal will be to provide useful insight and unearth problematic situations regarding the finances and processes of organizations.
"
Facilities,,,https://resources.workable.com/category/job-descriptions/facilities-job-descriptions/,
Facilities Manager,"Plan and coordinate all installations (telecommunications, heat, electricity etc.) and refurbishments
Manage the upkeep of equipment and supplies to meet health and safety standards
Inspect buildings’ structures to determine the need for repairs or renovations
Review utilities consumption and strive to minimize costs
Supervise all staff facilities staff (custodians, technicians, groundskeepers etc.) and external contractors
Control activities like parking space allocation, waste disposal, building security etc.
Allocate office space according to needs
Handle insurance plans and service contracts
Keep financial and non-financial records
Perform analysis and forecasting
","Proven experience as facilities manager or relevant position
Well-versed in technical/engineering operations and facilities management best practices
Knowledge of basic accounting and finance principles
Excellent verbal and written communication skills
Excellent organizational and leadership skills
Good analytical/critical thinking
BSc/BA in facility management, engineering, business administration or relevant field
Relevant professional qualification (e.g. CFM) will be an advantage
",https://resources.workable.com/facilities-manager-job-description,"Facilities Manager job descriptionThe ideal candidate will be well-organized and able to optimize the use of space and equipment while reducing operating costs. Leadership abilities and phenomenal efficiency can set you apart among our candidate pool.
The goal is to ensure our business’s accommodation is problem-free and safe so that employees can work under the best conditions. 
"
Fashion Editor,"Decide on story ideas and themes, along with the editor-in-chief, to meet audience preferences
Liaise with photographers, models, makeup artists and costume designers and choose photoshoot locations
Oversee layout (artwork, design and photography)
Collaborate with writers, check content and edit articles
Continuously search for latest fashion trends to stay ahead of competitors
Attend fashion shows, meet with designers and visit retail stores to stay up-to-date
Suggest new fashion products, such as outfits, accessories, makeup and beauty supplies
Boost your social media activity and keep in contact with industry professionals
Meet deadlines and budget requirements
Ensure all team members are in sync with the latest trends
","Proven work experience as a fashion editor
Strong editing skills with an excellent portfolio
Hands on experience with MS Office, InDesign, Photoshop or other publishing tools
Excellent interpersonal and team management skills
Creativity and an eye for detail
Prioritization and time management skills
BSc degree in journalism, fashion design or related field
",https://resources.workable.com/fashion-editor-job-description,"Fashion Editor job descriptionThe successful candidate should be passionate about the latest fashion trends and be able to bring their creative ideas to life.
As a fashion editor, you will work closely with the editor-in-chief, advertising reps, photographers and models to achieve the highest quality of artwork and ensure readers are given the most up-to-date fashion information.
"
Field Sales (Outside Sales) Representative,"“Get the sale” using various customer sales methods (door-to-door, cold calling, presentations etc)
Forecast sales, develop “out of the box” sales strategies/models and evaluate their effectiveness
Evaluate customers skills, needs and build productive long lasting relationships
Meet personal and team sales targets
Research accounts and generate or follow through sales leads
Attend meeting, sales events and trainings to keep abreast of the latest developments
Report and provide feedback to management using financial statistical data
Maintain and expand client database within your assigned territory
","Proven sales experience
Track record of over-achieving quota
Experience working with Salesforce.com or similar CRM
Familiarity with different sales techniques and pipeline management
Computer use competency
Strong communication, negotiation and interpersonal skills
Self motivated and driven
BA/BS degree or equivalent
",https://resources.workable.com/field-sales-representative-job-description,Field Sales (Outside Sales) Representative job description
Field Service Representative,"Undertake all customer support tasks in external facilities
Operate efficiently to conclude all on site installation, repair, maintenance and test activities
Guarantee that the work progress accurately follows the agenda
Perform troubleshooting and strive to resolve issues
Produce frequent and analytical service reports
Operate vehicle in a safely manner and use field automation systems
Adhere to company’s given rules and regulations
Team up with colleagues and pass on important information
Discern customer needs and offer advice or recommendations
Formulate relationships of trust with customers
","Proven experience as a field service representative
Ability to manage and preserve technical equipment
Good knowledge of english
Ability to easily acclimate to modified schedules and shifts
Accustomed to using mobile tools and applications
Technical degree or certification
",https://resources.workable.com/field-service-representative-job-description,Field Service Representative job description
Field Service Technician,"Provide service and customer support during field visits or dispatches
Tie workflow to schedule
Manage all on site installation, repair, maintenance and test tasks
Diagnose errors or technical problems and determine proper solutions
Produce timely and detailed service reports
Document processes
Operate vehicle in a safely manner and use field automation systems
Follow all company’s filed procedures and protocols
Cooperate with technical team and share information across the organisation
Comprehend customer requirements and make appropriate recommendations/briefings
Build positive relationships with customers
","Proven field service experience
Ability to troubleshoot, test, repair and service technical equipment
English literacy
Ability to work flexible shifts and to adapt to changing work schedules
Familiarity with mobile tools and applications
Technical degree or certification
",https://resources.workable.com/field-service-technician-job-description,Field Service Technician job description
File Clerk,"Check incoming paperwork (correspondence, invoices etc.) and make copies before distributing
Sort all papers alphabetically and according to content, dates, significance etc.
Create or update records with new files and information
Store all paperwork in designated places securing the important documents
Enter paperwork into an electronic system either by data entry or by using optical scanners
Deal with all requests to access files and keep logs of borrowed papers
Develop an efficient filing system to make updating and retrieving files easier
Follow policies and confidentiality dictations to safeguard data and information
Monitor inventory of files, paper clips etc. and report shortages
","Proven experience as file clerk
Knowledge of filing systems
Very good knowledge of MS Office and office equipment such as photocopier, scanner etc.
Good command of English both oral and written
Dependable with a respect to confidentiality and policies
Excellent organizational skills
Great attention to detail
High school degree or equivalent
",https://resources.workable.com/file-clerk-job-description,"File Clerk job descriptionA file clerk must be organized and possess a serious understanding of confidentiality and data protection. The ideal candidate will be skilled in computers and detail-oriented.
The goal is to preserve the company’s records and manage paperwork effectively.
"
Finance,,,https://resources.workable.com/category/job-descriptions/finance-job-descriptions/,
Finance Clerk,"Process bills, checks, receipts and other documents
Ensure all documents are properly signed and distributed
Verify financial and other data (e.g. tax identification numbers)
Monitor financial transactions
Enter data and maintain updated records
Assist with account reconciliations
Communicate with vendors, customers and colleagues
Report the status of accounts and discrepancies
","Proven experience as a Finance Clerk
Knowledge of basic bookkeeping and financial transactions
Familiarity with financial regulations, i.e. Generally Accepted Accounting Principles (GAAP)
Knowledge of MS Office and databases
Attention to detail
Organizational and multitasking abilities
Excellent verbal and written communication skills
Reliability and strong work ethics
Ability to solve problems
High school diploma or equivalent
",https://resources.workable.com/finance-clerk-job-description,"Finance Clerk job descriptionWe’re looking for an individual with a keen eye for detail, strong math skills and the ability to multi-task efficiently. You should also be trustworthy and an excellent communicator.
Your goal will be to ensure our accounting procedures run smoothly.
"
Finance Officer,"Keep accurate records for all daily transactions
Prepare balance sheets
Process invoices
Record accounts payable and accounts receivable
Update internal systems with financial data
Prepare monthly, quarterly and annual financial reports
Reconcile bank statements
Participate in financial audits
Track bank deposits and payments
Assist with budget preparation
Review and implement financial policies
","Proven work experience as a Finance Officer or similar role
Solid knowledge of financial and accounting procedures
Experience using financial software
Advanced MS Excel skills
Knowledge of financial regulations
Excellent analytical and numerical skills
Sharp time management skills
Strong ethics, with an ability to manage confidential data
BSc degree in Finance, Accounting or Economics
Professional qualification as a CFA/CPA is considered a plus
",https://resources.workable.com/finance-officer-job-description,"Finance Officer job descriptionYou should be familiar with audits, invoices and budget preparations. Our ideal candidate demonstrates interest in managing accounting activities, including bank reconciliations, accounts payable and accounts receivable. You should also have excellent organizational skills and be able to handle time-sensitive tasks.
Ultimately, you’ll be responsible for the day-to-day management of our financial transactions and procedures.
"
Financial Adviser,"Provide strategic advice across a variety of financial products and services (debt management, cash management, insurance coverage, investments)
Assess client’s overall financial picture, understand their needs and develop a solid financial plan
Guide clients towards a profitable and secure financial decision
Cultivate client base and build win-win relationships
Network, generate leads and grab opportunities to sell mutual funds, stocks, bonds etc to meet sales quotas
Keep abreast of new industry’s trends and research market to back up financial consulting
Oversee the course of the financial plan and update it, if necessary, to ensure profits
Comply with all industry rules and regulations
Liaise with providers, solicitors, valuers and other professionals
","Proven working experience as a financial adviser, controller, planner, specialist or relevant experience
Track record of successful financial guidance
Ability to analyse market’s financial data and to provide appropriate data-based advice
Strong communication, negotiation and presentation skills
Accuracy, attention to detail and the ability to explain complex information clearly and simply
Excellent PC knowledge and ability to operate database systems
Current certificate of qualifications (FCA, CII, DipFA, CISI or other)
BS degree in Finance or related field
",https://resources.workable.com/financial-adviser-job-description,Financial Adviser job description
Financial Analyst,"Consolidate and analyze financial data (budgets, income statement forecasts etc) taking into account company’s goals and financial standing
Provide creative alternatives and recommendations to reduce costs and improve financial performance
Assemble and summarize data to structure sophisticated reports on financial status and risks
Develop financial models, conduct benchmarking and process analysis
Conduct business studies on past, future and comparative performance and develop forecast models
Identify trends, advise company and recommend actions to a senior financial analyst based on sound analysis
Track and determine financial status by analyzing actual results in comparison with forecasts
Reconcile transactions by comparing and correcting data
Gain and update job knowledge to remain informed about novelty in the field
Consult with management to guide and influence long term and strategic decision making within the broadest scope
Drive process improvement and policy development initiatives that impact the function
","Proven working experience as a finance analyst
Proficient in spreadsheets, databases, MS Office and financial software applications
Hands on experience with statistical analysis and statistical packages
Outstanding presentation, reporting and communication skills
Proven knowledge of financial forecasting and diagnosis, corporate finance and information analysis
Well informed in current financial subjects, accounting, tax laws, money market and business environments
BS degree in Finance, Economics or related field
",https://resources.workable.com/financial-analyst-job-description,Financial Analyst job description
Financial Controller,"Manage all accounting operations including Billing, A/R, A/P, GL and Counsel, Cost Accounting, Inventory Accounting and Revenue Recognition
Coordinate and direct the preparation of the budget and financial forecasts and report variances
Prepare and publish timely monthly financial statements
Coordinate the preparation of regulatory reporting
Research technical accounting issues for compliance
Support month-end and year-end close process
Ensure quality control over financial transactions and financial reporting
Manage and comply with local, state, and federal government reporting requirements and tax filings
Develop and document business processes and accounting policies to maintain and strengthen internal controls
Additional controller duties as necessary
","Proven working experience as a Financial controller
5+ years of overall combined accounting and finance experience
Advanced degree in Accounting
CPA or CMA preferred
Thorough knowledge of accounting principles and procedures
Experience with creating financial statements
Experience with general ledger functions and the month-end/year end close process
Excellent accounting software user and administration skills
",https://resources.workable.com/financial-controller-job-description,Financial Controller job description
Financial Manager,"Provide financial reports and interpret financial information to managerial staff while recommending further courses of action.
Advise on investment activities and provide strategies that the company should take
Maintain the financial health of the organization.
Analyze costs, pricing, variable contributions, sales results and the company’s actual performance compared to the business plans.
Develop trends and projections for the firm’s finances.
Conduct reviews and evaluations for cost-reduction opportunities.
Oversee operations of the finance department, set goals and objectives, and design a framework for these to be met.
Manage the preparation of the company’s budget.
Liase with auditors to ensure appropriate monitoring of company finances is maintained.
Correspond with various other departments, discussing company plans and agreeing on future paths to be taken.
","Proven experience as a Financial Manager
Experience in the financial sector with previous possible roles such as financial analyst
Extensive understanding of financial trends both within the company and general market patterns
Proficient user of finance software
Strong interpersonal, communication and presentation skills
Able to manage, guide and lead employees to ensure appropriate financial processes are being used
A solid understanding of financial statistics and accounting principles
Working knowledge of all statutory legislation and regulations
BS/MA degree in Finance, Accounting or Economics
Professional qualification such as CFA/CPA or similar will be considered a plus
",https://resources.workable.com/financial-manager-job-description,"Financial Manager job descriptionThe goal is to enable the company’s leaders to make sound business decisions and meet the company’s objectives.
"
Financial Planner,"Analyze clients’ financial statuses (e.g. income, expenses and liabilities)
Examine and suggest financial opportunities (e.g. insurance plans, investments)
Develop sound plans and budgets for clients
Customize financial plans according to clients’ changing needs
Help clients implement their plans and carry out transactions
Present and sell suitable financial products and services
Find and approach prospective clients
Build strong relationships to retain existing clients
Maintain updated knowledge of regulations, practices and financial products
","Proven experience as financial planner or similar role; experience in sales or customer service is an asset
Ability to analyze financial information and comply with regulations
Proficiency in MS Office and CRM systems
Attention to detail and strong math skills
Strong ethics, with a customer-oriented attitude
Outstanding communication skills, with the ability to foster long-term relationships
Valid professional license (e.g. Series 7 & 66)
BSc/BA in accounting, finance, business administration or relevant field; professional certification (e.g. CFP) is a plus
",https://resources.workable.com/financial-planner-job-description,"Financial Planner job descriptionWe are looking for a Financial Planner to help clients manage their finances. You will be our clients’ trusted advisor in areas including investments, cash flow, savings and debt management.
Our financial planner should be an effective communicator with experience in financial planning and business development. If you’re analytical, meticulous and customer-oriented, we’d like to meet you.
Your goal will be to ensure clients make wise and profitable decisions to meet their financial goals.
"
Financial Specialist,"Analyze financial data to identify our company’s financial status
Conduct cost and benchmarking analyses
Prepare budget reports
Develop financial models, taking legal limitations into consideration
Participate in regular audits and recommend corrective financial action plans
Design and review fiscal policies
Identify investment opportunities
Advise our senior management team on financial planning (e.g. acquisitions, mergers and loans)
Create forecast models based on current and past financial results
","Proven work experience as a Financial Specialist, Financial Analyst or relevant role
Familiarity with finance and statistical analysis software
Understanding of financial and accounting principles
An ability to analyze market trends and provide data-based advice
Strong analytical skills with an attention to detail
An ability to present and explain investment information and financial plans
BS degree in Finance, Economics or related field
Additional qualification (e.g. CPA or CFA) a plus
",https://resources.workable.com/financial-specialist-job-description,"Financial Specialist job descriptionA successful Financial Specialist in our company uses financial management knowledge to perform cost analyses, prepare budget reports and evaluate current accounting trends. You should also advise our senior management team on potential acquisitions and strategic decisions in alignment with business objectives and legislation.
Ultimately, you should recommend, design and monitor short-term and long-term investment strategies for our company.
"
